initiative_id,short_name,country,sector,target_person_name,target_person_linkedin,priority_tier,weighted_total,speed_to_contract,strategic_moat,defensibility,capital_access,russian_cis_fit,lead_institution,primary_funding_pathway,estimated_initial_contract_usd,status,last_action,next_action,owner
INI-001,AI Fund Criteria Co-Design (PP-320),UZ,AI Infrastructure,"Toshmatov Dostonbek (L2_VERIFIED — re-confirm)","linkedin.com/in/akbar-toshmatov-stanford (bridge)",A,9.55,9,10,9,10,10,UZ-AI-CENTER,State (PP-320 $100M Fund),5000000,not_started,,"Send decree-anchor LinkedIn to AI Center Director; contact Tursunov/Google and Toshmatov/Stanford for diaspora warm intro",valuev.alexandr@gmail.com
INI-002,AI in Courts Phase 1 (UP-140),UZ,Justice & Rule of Law,"Ismoilov Bahrom (Chair Supreme Court)","not_found",A,9.40,10,9,9,9,10,UZ-SUPREME-COURT,"State (UP-140 $15M) + UNDP $2M",8000000,not_started,,"Submit pre-qual UZ-T-2026-002; contact eGA Estonia for SALME endorsement letter",valuev.alexandr@gmail.com
INI-003,EPIGU AI Citizen Chatbot,UZ,Public Administration,"EPIGU Product Head","not_found",A,8.80,10,8,8,9,10,UZ-PUBLIC-SERVICES-AGENCY,"State UP-2024-132 + WB P179108 $50M pipeline",2800000,not_started,,"Verify UZ-T-2026-005 live on etender.uzex.uz; contact eGA Estonia for Bürokratt endorsement; contact Ozod Tashpulatov (WB) for P179108 TTL intro",valuev.alexandr@gmail.com
INI-004,Tax Risk-Scoring AI for STC (UZ),UZ,Finance & Fiscal,"GNK Chairman","not_found",A,9.05,10,9,8,9,9,UZ-GNK,"State (STC modernization) + WB P176353 DPF",3200000,not_started,,"Submit pre-qual UZ-T-2026-010; contact MoEF Digital Finance Dept; contact Laziz Umarov (BCG Munich) for KPI input",valuev.alexandr@gmail.com
INI-005,AI Customs Risk-Scoring (SafeGate UZ),UZ,Finance & Fiscal,"ICTA Director","not_found",A,8.15,8,8,8,8,9,UZ-GTK,"State (SCC modernization) + ADB pipeline",4200000,not_started,,"Track UZ-TF-2026-010 publication; contact Kamoliddin Yusupov (ADB Manila) for pipeline confirmation; approach Crimson Logic for partnership",valuev.alexandr@gmail.com
INI-006,Sovereign Uzbek-Russian LLM (Foundation Model),UZ,AI Infrastructure,"AI Center Director (L2_VERIFIED)","not_found",A,9.50,8,10,10,10,10,UZ-AI-CENTER,"PP-320 $100M + UP-189 + EBRD",12000000,not_started,,"Contact Akbar Toshmatov (Stanford HAI) for benchmark co-authorship; contact Sarvar Sadikov (Meta) for compute advisory; EBRD intro",valuev.alexandr@gmail.com
INI-007,Sovereign AI Compute Cluster (NUU + UzCloud),UZ,AI Infrastructure,"AI Center Director (L2_VERIFIED)","not_found",A,9.00,9,9,9,9,9,UZ-AI-CENTER,"State UP-189 + AIIB + AI Fund",50000000,not_started,,"Submit pre-qual UZ-T-2026-001; contact Sarvar Sadikov (Meta) for GPU architecture advisory",valuev.alexandr@gmail.com
INI-008,Healthcare AI Diagnostic Platform (UZ),UZ,Health,"Inoyatov Amrillo (Min Health UZ)","not_found",A,8.95,9,8,9,10,9,UZ-MINZDRAV,"WB P178562 $200M + state budget",6500000,not_started,,"Submit pre-qual UZ-T-2026-003; contact E-Health Center Director; contact WB P178562 TTL for endorsement",valuev.alexandr@gmail.com
INI-009,Geospatial NSDI AI Imagery (UZ),UZ,Agriculture & Water,"Director State Cadastre Committee","not_found",A,8.85,10,7,9,10,8,UZ-CADASTRE,"WB P506803 $40.7M",4200000,not_started,,"Submit pre-qual UZ-T-2026-004; brief PIU Director; UZ Space Agency MoU dialogue",valuev.alexandr@gmail.com
INI-010,Cybersecurity SOC Modernization (UZ),UZ,Security,"UNICON Head","not_found",A,8.85,10,8,9,8,9,UZ-UNICON,"State UP-2026-038 + EU C4CA",5500000,not_started,,"Submit pre-qual UZ-T-2026-006; meet UNICON Director; request Estonia NCSC endorsement letter; pre-certification dialogue",valuev.alexandr@gmail.com
INI-011,AI Labs at 15 Universities (UZ),UZ,Education,"Sharipov Kongratbay (Min Higher Edu)","not_found",A,7.80,9,7,7,8,7,UZ-MOHESI,"State UP-2024-051 + IsDB SMARTED",7500000,not_started,,"Submit pre-qual UZ-T-2026-011; secure mentorship commitment letters from Tursunov/Toshmatov/Yakubov; contact IsDB SMARTED PIU",valuev.alexandr@gmail.com
